run_id,variant,git_sha,tbl,query_id,run,planning_ms,exec_ms,shared_hit,shared_read,chunks_in_plan,compressed_chunks_in_plan,chunk_scan_nodes,chunks_excluded_startup,vectorized_filter,rows,scan_rows,query_text
t2-before-7c8a54d-20260922T004047Z,t2-before,7c8a54d,metrics_date,Q1,1,19.824,23.544,6526,0,116,0,232,0,f,1,251334,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_date WHERE day >= now() - interval '30 days'"
t2-before-7c8a54d-20260922T004047Z,t2-before,7c8a54d,metrics_date,Q1,2,3.786,20.966,6401,0,116,0,232,0,f,1,251334,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_date WHERE day >= now() - interval '30 days'"
t2-before-7c8a54d-20260922T004047Z,t2-before,7c8a54d,metrics_date,Q1,3,3.585,21.096,6360,0,116,0,232,0,f,1,260934,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_date WHERE day >= now() - interval '30 days'"
t2-before-7c8a54d-20260922T004047Z,t2-before,7c8a54d,metrics_date,Q2,1,3.584,15.864,6025,0,10,0,20,106,t,1,299600,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_date WHERE day >= current_date - 30"
t2-before-7c8a54d-20260922T004047Z,t2-before,7c8a54d,metrics_date,Q2,2,3.139,14.593,6025,0,10,0,20,106,t,1,299600,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_date WHERE day >= current_date - 30"
t2-before-7c8a54d-20260922T004047Z,t2-before,7c8a54d,metrics_date,Q2,3,3.795,14.948,6025,0,10,0,20,106,t,1,299600,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_date WHERE day >= current_date - 30"
t2-before-7c8a54d-20260922T004047Z,t2-before,7c8a54d,metrics_date,Q3,1,0.687,5.222,4351,0,10,0,20,0,t,1,299600,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_date WHERE day >= '2026-02-20' AND day < '2026-03-23'"
t2-before-7c8a54d-20260922T004047Z,t2-before,7c8a54d,metrics_date,Q3,2,0.319,4.571,4225,0,10,0,20,0,t,1,299600,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_date WHERE day >= '2026-02-20' AND day < '2026-03-23'"
t2-before-7c8a54d-20260922T004047Z,t2-before,7c8a54d,metrics_date,Q3,3,0.343,4.338,4225,0,10,0,20,0,t,1,299600,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_date WHERE day >= '2026-02-20' AND day < '2026-03-23'"
t2-before-7c8a54d-20260922T004047Z,t2-before,7c8a54d,metrics_date,Q4,1,0.587,21.405,9025,0,10,0,20,0,t,1000,299600,"SELECT time_bucket(interval '7 days', day) AS bucket, device_id, avg(v1) AS avg_v1, max(v2) AS max_v2 FROM metrics_date WHERE day >= '2026-02-20' AND day < '2026-03-23' GROUP BY 1, 2"
t2-before-7c8a54d-20260922T004047Z,t2-before,7c8a54d,metrics_date,Q4,2,0.372,21.075,9025,0,10,0,20,0,t,1000,299600,"SELECT time_bucket(interval '7 days', day) AS bucket, device_id, avg(v1) AS avg_v1, max(v2) AS max_v2 FROM metrics_date WHERE day >= '2026-02-20' AND day < '2026-03-23' GROUP BY 1, 2"
t2-before-7c8a54d-20260922T004047Z,t2-before,7c8a54d,metrics_date,Q4,3,0.373,20.642,9025,0,10,0,20,0,t,1000,299600,"SELECT time_bucket(interval '7 days', day) AS bucket, device_id, avg(v1) AS avg_v1, max(v2) AS max_v2 FROM metrics_date WHERE day >= '2026-02-20' AND day < '2026-03-23' GROUP BY 1, 2"
t2-before-7c8a54d-20260922T004047Z,t2-before,7c8a54d,metrics_date,Q5,1,0.425,0.047,23,0,2,0,3,0,t,24,26,SELECT * FROM metrics_date WHERE device_id = 17 AND day = '2026-03-07'
t2-before-7c8a54d-20260922T004047Z,t2-before,7c8a54d,metrics_date,Q5,2,0.138,0.038,23,0,2,0,3,0,t,24,26,SELECT * FROM metrics_date WHERE device_id = 17 AND day = '2026-03-07'
t2-before-7c8a54d-20260922T004047Z,t2-before,7c8a54d,metrics_date,Q5,3,0.121,0.034,23,0,2,0,3,0,t,24,26,SELECT * FROM metrics_date WHERE device_id = 17 AND day = '2026-03-07'
t2-before-7c8a54d-20260922T004047Z,t2-before,7c8a54d,metrics_tstz,Q1,1,3.197,6.886,6150,0,10,0,20,0,t,1,290000,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_tstz WHERE ts >= now() - interval '30 days'"
t2-before-7c8a54d-20260922T004047Z,t2-before,7c8a54d,metrics_tstz,Q1,2,0.442,5.932,6025,0,10,0,20,0,t,1,290000,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_tstz WHERE ts >= now() - interval '30 days'"
t2-before-7c8a54d-20260922T004047Z,t2-before,7c8a54d,metrics_tstz,Q1,3,0.378,5.569,6025,0,10,0,20,0,t,1,290000,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_tstz WHERE ts >= now() - interval '30 days'"
t2-before-7c8a54d-20260922T004047Z,t2-before,7c8a54d,metrics_tstz,Q2,1,17.018,16.651,6025,0,10,0,20,106,t,1,299600,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_tstz WHERE ts >= date_trunc('day', now()) - interval '30 days'"
t2-before-7c8a54d-20260922T004047Z,t2-before,7c8a54d,metrics_tstz,Q2,2,4.107,15.817,6025,0,10,0,20,106,t,1,299600,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_tstz WHERE ts >= date_trunc('day', now()) - interval '30 days'"
t2-before-7c8a54d-20260922T004047Z,t2-before,7c8a54d,metrics_tstz,Q2,3,3.737,16.139,6025,0,10,0,20,106,t,1,299600,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_tstz WHERE ts >= date_trunc('day', now()) - interval '30 days'"
t2-before-7c8a54d-20260922T004047Z,t2-before,7c8a54d,metrics_tstz,Q3,1,0.594,5.298,4350,0,10,0,20,0,t,1,299600,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_tstz WHERE ts >= '2026-02-20' AND ts < '2026-03-23'"
t2-before-7c8a54d-20260922T004047Z,t2-before,7c8a54d,metrics_tstz,Q3,2,0.319,4.659,4225,0,10,0,20,0,t,1,299600,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_tstz WHERE ts >= '2026-02-20' AND ts < '2026-03-23'"
t2-before-7c8a54d-20260922T004047Z,t2-before,7c8a54d,metrics_tstz,Q3,3,0.327,4.43,4225,0,10,0,20,0,t,1,299600,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_tstz WHERE ts >= '2026-02-20' AND ts < '2026-03-23'"
