run_id,variant,git_sha,tbl,query_id,run,planning_ms,exec_ms,shared_hit,shared_read,chunks_in_plan,compressed_chunks_in_plan,chunk_scan_nodes,chunks_excluded_startup,vectorized_filter,rows,scan_rows,workers_launched,query_text
int-baseline-customer-59db144-20260922T120853Z,int-baseline-customer,59db144,metrics_date,Q1,1,74.392,497.429,56029,11682,157,157,314,0,f,1,1440000,2,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_date WHERE day >= now() - interval '30 days'"
int-baseline-customer-59db144-20260922T120853Z,int-baseline-customer,59db144,metrics_date,Q1,2,12.712,440.869,67661,0,157,157,314,0,f,1,1440000,2,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_date WHERE day >= now() - interval '30 days'"
int-baseline-customer-59db144-20260922T120853Z,int-baseline-customer,59db144,metrics_date,Q1,3,11.157,442.674,67611,0,157,157,314,0,f,1,1440000,2,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_date WHERE day >= now() - interval '30 days'"
int-baseline-customer-59db144-20260922T120853Z,int-baseline-customer,59db144,metrics_date,Q1-np,1,56.413,577.642,67604,0,157,157,314,0,f,1,1440000,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_date WHERE day >= now() - interval '30 days'"
int-baseline-customer-59db144-20260922T120853Z,int-baseline-customer,59db144,metrics_date,Q1-np,2,12.755,531.607,67479,0,157,157,314,0,f,1,1440000,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_date WHERE day >= now() - interval '30 days'"
int-baseline-customer-59db144-20260922T120853Z,int-baseline-customer,59db144,metrics_date,Q1-np,3,10.554,524.193,67479,0,157,157,314,0,f,1,1440000,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_date WHERE day >= now() - interval '30 days'"
int-baseline-customer-59db144-20260922T120853Z,int-baseline-customer,59db144,metrics_date,Q2,1,12.728,54.093,60370,0,5,5,10,152,t,1,1488000,2,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_date WHERE day >= current_date - 30"
int-baseline-customer-59db144-20260922T120853Z,int-baseline-customer,59db144,metrics_date,Q2,2,11.643,60.383,60370,0,5,5,10,152,t,1,1488000,2,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_date WHERE day >= current_date - 30"
int-baseline-customer-59db144-20260922T120853Z,int-baseline-customer,59db144,metrics_date,Q2,3,12.235,56.9,60370,0,5,5,10,152,t,1,1488000,2,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_date WHERE day >= current_date - 30"
int-baseline-customer-59db144-20260922T120853Z,int-baseline-customer,59db144,metrics_date,Q2-np,1,11.128,62.102,60225,0,5,5,10,152,t,1,1488000,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_date WHERE day >= current_date - 30"
