run_id,variant,git_sha,tbl,query_id,run,planning_ms,exec_ms,shared_hit,shared_read,chunks_in_plan,compressed_chunks_in_plan,chunk_scan_nodes,chunks_excluded_startup,vectorized_filter,rows,scan_rows,workers_launched,query_text
defaults-7d-index-1dc07b9-20260922T010442Z,defaults-7d-index,1dc07b9,metrics_date,Q1,1,18.276,23.795,6485,0,58,58,116,0,f,1,144000,2,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_date WHERE day >= now() - interval '30 days'"
defaults-7d-index-1dc07b9-20260922T010442Z,defaults-7d-index,1dc07b9,metrics_date,Q1,2,3.76,21.219,6360,0,58,58,116,0,f,1,144000,2,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_date WHERE day >= now() - interval '30 days'"
defaults-7d-index-1dc07b9-20260922T010442Z,defaults-7d-index,1dc07b9,metrics_date,Q1,3,3.615,21.134,6360,0,58,58,116,0,f,1,144000,2,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_date WHERE day >= now() - interval '30 days'"
defaults-7d-index-1dc07b9-20260922T010442Z,defaults-7d-index,1dc07b9,metrics_date,Q1-np,1,18.238,16.513,6444,0,58,58,116,0,f,1,144000,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_date WHERE day >= now() - interval '30 days'"
defaults-7d-index-1dc07b9-20260922T010442Z,defaults-7d-index,1dc07b9,metrics_date,Q1-np,2,3.145,14.367,6319,0,58,58,116,0,f,1,144000,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_date WHERE day >= now() - interval '30 days'"
defaults-7d-index-1dc07b9-20260922T010442Z,defaults-7d-index,1dc07b9,metrics_date,Q1-np,3,3.035,15.361,6319,0,58,58,116,0,f,1,144000,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_date WHERE day >= now() - interval '30 days'"
defaults-7d-index-1dc07b9-20260922T010442Z,defaults-7d-index,1dc07b9,metrics_date,Q2,1,3.383,15.606,6025,0,5,5,10,53,t,1,148800,2,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_date WHERE day >= current_date - 30"
defaults-7d-index-1dc07b9-20260922T010442Z,defaults-7d-index,1dc07b9,metrics_date,Q2,2,3.508,15.307,6025,0,5,5,10,53,t,1,148800,2,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_date WHERE day >= current_date - 30"
defaults-7d-index-1dc07b9-20260922T010442Z,defaults-7d-index,1dc07b9,metrics_date,Q2,3,3.545,15.853,6025,0,5,5,10,53,t,1,148800,2,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_date WHERE day >= current_date - 30"
defaults-7d-index-1dc07b9-20260922T010442Z,defaults-7d-index,1dc07b9,metrics_date,Q2-np,1,2.888,6.014,6025,0,5,5,10,53,t,1,148800,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_date WHERE day >= current_date - 30"
defaults-7d-index-1dc07b9-20260922T010442Z,defaults-7d-index,1dc07b9,metrics_date,Q2-np,2,2.503,5.592,6025,0,5,5,10,53,t,1,148800,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_date WHERE day >= current_date - 30"
defaults-7d-index-1dc07b9-20260922T010442Z,defaults-7d-index,1dc07b9,metrics_date,Q2-np,3,2.463,5.524,6025,0,5,5,10,53,t,1,148800,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_date WHERE day >= current_date - 30"
defaults-7d-index-1dc07b9-20260922T010442Z,defaults-7d-index,1dc07b9,metrics_date,Q3,1,0.751,5.111,4350,0,5,5,10,0,t,1,148800,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_date WHERE day >= '2026-02-20' AND day < '2026-03-23'"
defaults-7d-index-1dc07b9-20260922T010442Z,defaults-7d-index,1dc07b9,metrics_date,Q3,2,0.348,4.498,4225,0,5,5,10,0,t,1,148800,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_date WHERE day >= '2026-02-20' AND day < '2026-03-23'"
defaults-7d-index-1dc07b9-20260922T010442Z,defaults-7d-index,1dc07b9,metrics_date,Q3,3,0.287,4.198,4225,0,5,5,10,0,t,1,148800,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_date WHERE day >= '2026-02-20' AND day < '2026-03-23'"
defaults-7d-index-1dc07b9-20260922T010442Z,defaults-7d-index,1dc07b9,metrics_date,Q3-np,1,0.624,4.982,4350,0,5,5,10,0,t,1,148800,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_date WHERE day >= '2026-02-20' AND day < '2026-03-23'"
defaults-7d-index-1dc07b9-20260922T010442Z,defaults-7d-index,1dc07b9,metrics_date,Q3-np,2,0.292,4.68,4225,0,5,5,10,0,t,1,148800,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_date WHERE day >= '2026-02-20' AND day < '2026-03-23'"
defaults-7d-index-1dc07b9-20260922T010442Z,defaults-7d-index,1dc07b9,metrics_date,Q3-np,3,0.32,4.4,4225,0,5,5,10,0,t,1,148800,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_date WHERE day >= '2026-02-20' AND day < '2026-03-23'"
defaults-7d-index-1dc07b9-20260922T010442Z,defaults-7d-index,1dc07b9,metrics_date,Q4,1,0.638,21.755,9025,0,5,5,10,0,t,1000,148800,0,"SELECT time_bucket(interval '7 days', day) AS bucket, device_id, avg(v1) AS avg_v1, max(v2) AS max_v2 FROM metrics_date WHERE day >= '2026-02-20' AND day < '2026-03-23' GROUP BY 1, 2"
defaults-7d-index-1dc07b9-20260922T010442Z,defaults-7d-index,1dc07b9,metrics_date,Q4,2,0.587,22.021,9025,0,5,5,10,0,t,1000,148800,0,"SELECT time_bucket(interval '7 days', day) AS bucket, device_id, avg(v1) AS avg_v1, max(v2) AS max_v2 FROM metrics_date WHERE day >= '2026-02-20' AND day < '2026-03-23' GROUP BY 1, 2"
defaults-7d-index-1dc07b9-20260922T010442Z,defaults-7d-index,1dc07b9,metrics_date,Q4,3,0.592,22.94,9025,0,5,5,10,0,t,1000,148800,0,"SELECT time_bucket(interval '7 days', day) AS bucket, device_id, avg(v1) AS avg_v1, max(v2) AS max_v2 FROM metrics_date WHERE day >= '2026-02-20' AND day < '2026-03-23' GROUP BY 1, 2"
defaults-7d-index-1dc07b9-20260922T010442Z,defaults-7d-index,1dc07b9,metrics_date,Q4-np,1,0.562,20.917,9025,0,5,5,10,0,t,1000,148800,0,"SELECT time_bucket(interval '7 days', day) AS bucket, device_id, avg(v1) AS avg_v1, max(v2) AS max_v2 FROM metrics_date WHERE day >= '2026-02-20' AND day < '2026-03-23' GROUP BY 1, 2"
defaults-7d-index-1dc07b9-20260922T010442Z,defaults-7d-index,1dc07b9,metrics_date,Q4-np,2,0.496,21.417,9025,0,5,5,10,0,t,1000,148800,0,"SELECT time_bucket(interval '7 days', day) AS bucket, device_id, avg(v1) AS avg_v1, max(v2) AS max_v2 FROM metrics_date WHERE day >= '2026-02-20' AND day < '2026-03-23' GROUP BY 1, 2"
defaults-7d-index-1dc07b9-20260922T010442Z,defaults-7d-index,1dc07b9,metrics_date,Q4-np,3,0.399,21.067,9025,0,5,5,10,0,t,1000,148800,0,"SELECT time_bucket(interval '7 days', day) AS bucket, device_id, avg(v1) AS avg_v1, max(v2) AS max_v2 FROM metrics_date WHERE day >= '2026-02-20' AND day < '2026-03-23' GROUP BY 1, 2"
defaults-7d-index-1dc07b9-20260922T010442Z,defaults-7d-index,1dc07b9,metrics_date,Q5,1,0.473,0.051,23,0,1,1,2,0,t,24,24,0,SELECT * FROM metrics_date WHERE device_id = 17 AND day = '2026-03-07'
defaults-7d-index-1dc07b9-20260922T010442Z,defaults-7d-index,1dc07b9,metrics_date,Q5,2,0.146,0.037,23,0,1,1,2,0,t,24,24,0,SELECT * FROM metrics_date WHERE device_id = 17 AND day = '2026-03-07'
defaults-7d-index-1dc07b9-20260922T010442Z,defaults-7d-index,1dc07b9,metrics_date,Q5,3,0.13,0.037,23,0,1,1,2,0,t,24,24,0,SELECT * FROM metrics_date WHERE device_id = 17 AND day = '2026-03-07'
defaults-7d-index-1dc07b9-20260922T010442Z,defaults-7d-index,1dc07b9,metrics_date,Q5-np,1,0.421,0.085,23,0,1,1,2,0,t,24,24,0,SELECT * FROM metrics_date WHERE device_id = 17 AND day = '2026-03-07'
defaults-7d-index-1dc07b9-20260922T010442Z,defaults-7d-index,1dc07b9,metrics_date,Q5-np,2,0.147,0.036,23,0,1,1,2,0,t,24,24,0,SELECT * FROM metrics_date WHERE device_id = 17 AND day = '2026-03-07'
defaults-7d-index-1dc07b9-20260922T010442Z,defaults-7d-index,1dc07b9,metrics_date,Q5-np,3,0.121,0.033,23,0,1,1,2,0,t,24,24,0,SELECT * FROM metrics_date WHERE device_id = 17 AND day = '2026-03-07'
defaults-7d-index-1dc07b9-20260922T010442Z,defaults-7d-index,1dc07b9,metrics_tstz,Q1,1,3.127,6.643,6150,0,5,5,10,0,t,1,144000,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_tstz WHERE ts >= now() - interval '30 days'"
defaults-7d-index-1dc07b9-20260922T010442Z,defaults-7d-index,1dc07b9,metrics_tstz,Q1,2,0.431,6.667,6025,0,5,5,10,0,t,1,144000,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_tstz WHERE ts >= now() - interval '30 days'"
defaults-7d-index-1dc07b9-20260922T010442Z,defaults-7d-index,1dc07b9,metrics_tstz,Q1,3,0.433,5.518,6025,0,5,5,10,0,t,1,144000,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_tstz WHERE ts >= now() - interval '30 days'"
defaults-7d-index-1dc07b9-20260922T010442Z,defaults-7d-index,1dc07b9,metrics_tstz,Q1-np,1,3.588,6.647,6150,0,5,5,10,0,t,1,144000,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_tstz WHERE ts >= now() - interval '30 days'"
defaults-7d-index-1dc07b9-20260922T010442Z,defaults-7d-index,1dc07b9,metrics_tstz,Q1-np,2,0.515,7.027,6025,0,5,5,10,0,t,1,144000,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_tstz WHERE ts >= now() - interval '30 days'"
defaults-7d-index-1dc07b9-20260922T010442Z,defaults-7d-index,1dc07b9,metrics_tstz,Q1-np,3,0.379,6.492,6025,0,5,5,10,0,t,1,144000,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_tstz WHERE ts >= now() - interval '30 days'"
defaults-7d-index-1dc07b9-20260922T010442Z,defaults-7d-index,1dc07b9,metrics_tstz,Q2,1,16.301,17.134,6025,0,5,5,10,53,t,1,148800,2,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_tstz WHERE ts >= date_trunc('day', now()) - interval '30 days'"
defaults-7d-index-1dc07b9-20260922T010442Z,defaults-7d-index,1dc07b9,metrics_tstz,Q2,2,4.312,15.917,6025,0,5,5,10,53,t,1,148800,2,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_tstz WHERE ts >= date_trunc('day', now()) - interval '30 days'"
defaults-7d-index-1dc07b9-20260922T010442Z,defaults-7d-index,1dc07b9,metrics_tstz,Q2,3,3.701,15.564,6025,0,5,5,10,53,t,1,148800,2,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_tstz WHERE ts >= date_trunc('day', now()) - interval '30 days'"
defaults-7d-index-1dc07b9-20260922T010442Z,defaults-7d-index,1dc07b9,metrics_tstz,Q2-np,1,16.603,6.484,6025,0,5,5,10,53,t,1,148800,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_tstz WHERE ts >= date_trunc('day', now()) - interval '30 days'"
defaults-7d-index-1dc07b9-20260922T010442Z,defaults-7d-index,1dc07b9,metrics_tstz,Q2-np,2,4.203,6.487,6025,0,5,5,10,53,t,1,148800,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_tstz WHERE ts >= date_trunc('day', now()) - interval '30 days'"
defaults-7d-index-1dc07b9-20260922T010442Z,defaults-7d-index,1dc07b9,metrics_tstz,Q2-np,3,3.923,7.123,6025,0,5,5,10,53,t,1,148800,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_tstz WHERE ts >= date_trunc('day', now()) - interval '30 days'"
defaults-7d-index-1dc07b9-20260922T010442Z,defaults-7d-index,1dc07b9,metrics_tstz,Q3,1,0.609,5.226,4350,0,5,5,10,0,t,1,148800,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_tstz WHERE ts >= '2026-02-20' AND ts < '2026-03-23'"
defaults-7d-index-1dc07b9-20260922T010442Z,defaults-7d-index,1dc07b9,metrics_tstz,Q3,2,0.31,4.642,4225,0,5,5,10,0,t,1,148800,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_tstz WHERE ts >= '2026-02-20' AND ts < '2026-03-23'"
defaults-7d-index-1dc07b9-20260922T010442Z,defaults-7d-index,1dc07b9,metrics_tstz,Q3,3,0.343,4.241,4225,0,5,5,10,0,t,1,148800,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_tstz WHERE ts >= '2026-02-20' AND ts < '2026-03-23'"
defaults-7d-index-1dc07b9-20260922T010442Z,defaults-7d-index,1dc07b9,metrics_tstz,Q3-np,1,0.493,5.615,4350,0,5,5,10,0,t,1,148800,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_tstz WHERE ts >= '2026-02-20' AND ts < '2026-03-23'"
defaults-7d-index-1dc07b9-20260922T010442Z,defaults-7d-index,1dc07b9,metrics_tstz,Q3-np,2,0.298,4.55,4225,0,5,5,10,0,t,1,148800,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_tstz WHERE ts >= '2026-02-20' AND ts < '2026-03-23'"
defaults-7d-index-1dc07b9-20260922T010442Z,defaults-7d-index,1dc07b9,metrics_tstz,Q3-np,3,0.27,4.314,4225,0,5,5,10,0,t,1,148800,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_tstz WHERE ts >= '2026-02-20' AND ts < '2026-03-23'"
defaults-7d-index-1dc07b9-20260922T010442Z,defaults-7d-index,1dc07b9,metrics_tstz,Q4,1,0.582,16.023,9025,0,5,5,10,0,t,1000,148800,0,"SELECT time_bucket(interval '7 days', ts) AS bucket, device_id, avg(v1) AS avg_v1, max(v2) AS max_v2 FROM metrics_tstz WHERE ts >= '2026-02-20' AND ts < '2026-03-23' GROUP BY 1, 2"
defaults-7d-index-1dc07b9-20260922T010442Z,defaults-7d-index,1dc07b9,metrics_tstz,Q4,2,0.464,16.384,9025,0,5,5,10,0,t,1000,148800,0,"SELECT time_bucket(interval '7 days', ts) AS bucket, device_id, avg(v1) AS avg_v1, max(v2) AS max_v2 FROM metrics_tstz WHERE ts >= '2026-02-20' AND ts < '2026-03-23' GROUP BY 1, 2"
defaults-7d-index-1dc07b9-20260922T010442Z,defaults-7d-index,1dc07b9,metrics_tstz,Q4,3,0.375,15.836,9025,0,5,5,10,0,t,1000,148800,0,"SELECT time_bucket(interval '7 days', ts) AS bucket, device_id, avg(v1) AS avg_v1, max(v2) AS max_v2 FROM metrics_tstz WHERE ts >= '2026-02-20' AND ts < '2026-03-23' GROUP BY 1, 2"
defaults-7d-index-1dc07b9-20260922T010442Z,defaults-7d-index,1dc07b9,metrics_tstz,Q4-np,1,0.569,16.506,9025,0,5,5,10,0,t,1000,148800,0,"SELECT time_bucket(interval '7 days', ts) AS bucket, device_id, avg(v1) AS avg_v1, max(v2) AS max_v2 FROM metrics_tstz WHERE ts >= '2026-02-20' AND ts < '2026-03-23' GROUP BY 1, 2"
defaults-7d-index-1dc07b9-20260922T010442Z,defaults-7d-index,1dc07b9,metrics_tstz,Q4-np,2,0.358,16.169,9025,0,5,5,10,0,t,1000,148800,0,"SELECT time_bucket(interval '7 days', ts) AS bucket, device_id, avg(v1) AS avg_v1, max(v2) AS max_v2 FROM metrics_tstz WHERE ts >= '2026-02-20' AND ts < '2026-03-23' GROUP BY 1, 2"
defaults-7d-index-1dc07b9-20260922T010442Z,defaults-7d-index,1dc07b9,metrics_tstz,Q4-np,3,0.349,15.965,9025,0,5,5,10,0,t,1000,148800,0,"SELECT time_bucket(interval '7 days', ts) AS bucket, device_id, avg(v1) AS avg_v1, max(v2) AS max_v2 FROM metrics_tstz WHERE ts >= '2026-02-20' AND ts < '2026-03-23' GROUP BY 1, 2"
defaults-7d-index-1dc07b9-20260922T010442Z,defaults-7d-index,1dc07b9,metrics_tstz,Q5,1,0.394,0.047,23,0,1,1,2,0,t,24,24,0,SELECT * FROM metrics_tstz WHERE device_id = 17 AND ts = '2026-03-07'
defaults-7d-index-1dc07b9-20260922T010442Z,defaults-7d-index,1dc07b9,metrics_tstz,Q5,2,0.138,0.036,23,0,1,1,2,0,t,24,24,0,SELECT * FROM metrics_tstz WHERE device_id = 17 AND ts = '2026-03-07'
defaults-7d-index-1dc07b9-20260922T010442Z,defaults-7d-index,1dc07b9,metrics_tstz,Q5,3,0.128,0.036,23,0,1,1,2,0,t,24,24,0,SELECT * FROM metrics_tstz WHERE device_id = 17 AND ts = '2026-03-07'
defaults-7d-index-1dc07b9-20260922T010442Z,defaults-7d-index,1dc07b9,metrics_tstz,Q5-np,1,0.4,0.044,23,0,1,1,2,0,t,24,24,0,SELECT * FROM metrics_tstz WHERE device_id = 17 AND ts = '2026-03-07'
defaults-7d-index-1dc07b9-20260922T010442Z,defaults-7d-index,1dc07b9,metrics_tstz,Q5-np,2,0.133,0.035,23,0,1,1,2,0,t,24,24,0,SELECT * FROM metrics_tstz WHERE device_id = 17 AND ts = '2026-03-07'
defaults-7d-index-1dc07b9-20260922T010442Z,defaults-7d-index,1dc07b9,metrics_tstz,Q5-np,3,0.12,0.033,23,0,1,1,2,0,t,24,24,0,SELECT * FROM metrics_tstz WHERE device_id = 17 AND ts = '2026-03-07'
